Policy_Number,Premium_Amount,Claim_Amount,Incurred_Loss,Claim_Status,Policy_Status,Sum_Insured,Is_Fraud,Policy_Type
POL00378,1856.94,830.65,359.74,Closed,Active,244408.52,No,Life
POL00379,957.51,2580.27,2057.28,Closed,Active,491165.93,No,Auto
POL00380,948.08,135.18,360.37,Closed,Active,80376.15,No,Home
POL00381,1020.18,757.52,1340.61,Closed,Active,283415.45,No,Home
POL00382,562.83,1550.85,2222.26,Open,Active,130714.11,No,Life
POL00383,1042.27,3128.19,203.46,Closed,Active,486804.45,No,Home
POL00384,972.26,767.66,1507.93,Closed,Active,100986.58,No,Auto
POL00385,1245.12,1966.42,533.65,Closed,Active,231620.45,No,Home
POL00386,1302.53,4342.72,5930.75,Open,Active,382048.24,No,Life
POL00387,1762.85,1913.51,1189.38,Open,Active,367049.49,No,Life
POL00388,1485.13,530.43,2951.75,Closed,Active,240227.89,No,Auto
POL00389,1026.93,49.41,1438.22,Open,Active,205935.88,No,Life
POL00390,930.48,4081.96,79.89,Closed,Active,228925.57,No,Home
POL00391,1347.58,43.0,1805.05,Closed,Active,168924.32,No,Life
POL00392,803.93,4154.12,5443.56,Closed,Active,142399.82,No,Auto
POL00393,1749.44,1505.53,1656.59,Closed,Active,267367.86,No,Life
POL00394,1553.83,5595.98,3078.54,Closed,Active,170840.19,No,Home
POL00395,1059.25,3206.75,3880.7,Denied,Lapsed,179357.75,No,Auto
POL00396,686.06,12364.39,465.97,Open,Active,345540.23,No,Home
POL00397,1606.16,863.76,428.97,Closed,Cancelled,485841.8,No,Auto
POL00398,1165.64,2915.05,1699.43,Closed,Active,321636.74,No,Life
POL00399,1571.34,1028.1,952.88,Closed,Active,84640.76,No,Auto
POL00400,721.67,1307.37,3297.09,Closed,Active,84012.63,No,Auto
POL00401,1020.19,1975.07,4145.07,Closed,Active,478140.45,No,Life
POL00402,1201.57,4137.83,784.91,Closed,Active,183780.86,No,Home
POL00403,1214.09,8280.79,486.59,Closed,Active,91430.14,No,Life
POL00404,1064.98,2924.39,2729.73,Open,Active,319570.06,No,Auto
POL00405,1386.85,1081.77,578.37,Closed,Active,330641.95,No,Life
POL00406,879.71,1094.14,3112.97,Closed,Active,341827.17,No,Auto
POL00407,1157.29,2675.64,992.15,Open,Active,170330.91,No,Life
POL00408,1236.09,545.66,1982.28,Closed,Active,56799.81,No,Life
POL00409,1354.33,234.13,180.74,Closed,Active,484256.92,No,Home
POL00410,1413.48,875.84,1760.03,Closed,Active,162901.87,No,Auto
POL00411,862.61,677.22,1081.9,Closed,Lapsed,354211.83,No,Home
POL00412,739.77,702.83,1590.05,Open,Active,367983.44,No,Auto
POL00413,1583.3,532.12,331.09,Closed,Lapsed,324503.34,No,Life
POL00414,1299.69,86.01,2403.22,Closed,Active,190808.33,No,Auto
POL00415,975.45,36.07,3575.33,Open,Active,171993.31,No,Home
POL00416,1665.35,8799.96,439.72,Open,Active,318950.73,No,Home
POL00417,1234.7,1116.44,181.1,Open,Active,439743.04,No,Home
POL00418,1553.79,970.08,43.06,Closed,Cancelled,476030.18,No,Auto
POL00419,1220.26,2276.67,1848.86,Closed,Active,97657.61,No,Home
POL00420,1818.22,492.45,1681.53,Denied,Active,119672.88,No,Home
POL00421,1726.6,5989.91,1424.15,Open,Active,475131.32,No,Home
POL00422,1125.31,3086.79,475.01,Closed,Active,381440.85,No,Life
POL00423,1491.47,187.33,892.41,Closed,Lapsed,447347.22,No,Life
POL00424,1393.61,1081.13,1624.64,Closed,Active,141184.69,No,Auto
POL00425,1610.59,4225.89,1236.06,Denied,Active,314413.64,No,Auto
POL00426,910.52,5791.12,7929.24,Closed,Active,365512.82,No,Home
POL00427,1405.82,1259.97,264.04,Closed,Active,356050.35,No,Life
POL00428,1517.53,1900.79,2138.25,Closed,Active,233668.26,No,Home
POL00429,672.38,365.52,932.49,Closed,Active,56927.7,No,Home
POL00430,845.02,9458.89,1006.14,Open,Active,312316.73,No,Life
POL00431,588.23,527.08,2275.96,Closed,Active,163895.69,No,Life
POL00432,1119.18,5720.02,2122.33,Open,Active,252614.41,No,Life
POL00433,1415.26,2097.63,8530.9,Denied,Active,480911.46,No,Auto
POL00434,1650.71,1871.64,247.35,Closed,Active,229565.89,No,Auto
POL00435,1222.23,1437.7,197.89,Closed,Active,427910.72,No,Home
POL00436,1688.58,524.47,2319.45,Closed,Active,134843.27,No,Auto
POL00437,785.97,388.45,1554.6,Open,Active,352607.22,No,Life
POL00438,688.99,498.17,576.77,Closed,Active,489653.13,No,Life
POL00439,1183.34,412.67,148.95,Closed,Active,95851.9,No,Auto
POL00440,1315.22,3024.48,161.19,Open,Active,53743.97,No,Home
POL00441,1190.19,861.95,4043.01,Closed,Active,245112.26,No,Home
POL00442,579.77,119.17,383.45,Denied,Active,91681.47,No,Auto
POL00443,1173.26,6954.17,703.14,Closed,Active,386772.96,No,Home
POL00444,808.66,4304.64,462.66,Closed,Active,461546.9,No,Home
POL00445,1400.9,5255.31,789.3,Closed,Active,245309.44,No,Home
POL00446,1309.98,10560.1,129.51,Open,Active,166420.24,No,Life
POL00447,918.04,382.07,1317.62,Closed,Active,245481.49,No,Life
POL00448,1045.84,1009.16,126.01,Open,Active,375551.52,No,Auto
POL00449,882.24,2839.61,2900.2,Denied,Active,54074.37,No,Life
POL00450,1181.2,2381.59,479.16,Closed,Active,315254.3,No,Home
POL00451,1486.54,334.23,1397.8,Denied,Active,325981.26,No,Life
POL00452,904.28,3383.83,3817.66,Closed,Active,336959.71,No,Auto
POL00453,1351.21,508.34,1894.2,Closed,Active,158909.94,No,Life
POL00454,1040.92,506.74,1370.4,Closed,Active,371323.73,No,Home
POL00455,962.14,1539.95,705.7,Open,Active,91126.17,No,Home
POL00456,1167.89,1797.59,728.94,Closed,Active,139671.65,No,Auto
POL00457,889.43,1735.41,1992.8,Closed,Active,444861.52,No,Life
POL00458,1033.91,191.89,9251.09,Closed,Active,382425.42,No,Life
POL00459,840.64,4198.65,1951.62,Closed,Active,56185.5,No,Life
POL00460,1789.42,617.4,1468.72,Closed,Active,161769.32,No,Home
POL00461,1210.58,277.41,2361.14,Open,Active,146482.92,No,Auto
POL00462,990.08,4391.92,1126.57,Open,Active,171862.85,No,Life
POL00463,1264.19,6231.35,111.65,Closed,Lapsed,161401.9,No,Home
POL00464,1166.3,3962.85,1487.19,Denied,Active,78136.83,No,Home
POL00465,1133.71,3316.37,5690.17,Closed,Lapsed,256523.23,No,Home
POL00466,1384.25,2129.83,346.93,Denied,Active,379730.06,No,Life
POL00467,1427.25,1600.83,2108.16,Closed,Cancelled,323029.28,No,Life
POL00468,1040.85,182.01,403.76,Closed,Active,352792.25,Yes,Life
POL00469,1027.25,1050.03,1381.5,Closed,Active,86517.13,No,Life
POL00470,1117.48,932.62,183.01,Open,Active,478170.82,No,Life
POL00471,509.42,601.54,1077.32,Closed,Active,427321.33,No,Life
POL00472,745.44,2570.51,2540.26,Closed,Active,412290.64,No,Life
POL00473,1610.06,1369.86,768.7,Closed,Active,420342.71,No,Life
POL00474,1693.49,169.04,1968.05,Closed,Active,469719.73,No,Life
POL00475,1125.29,497.39,2856.5,Closed,Active,294914.28,No,Home
POL00476,1372.97,2299.34,4715.52,Open,Active,140126.91,No,Life
POL00477,1293.38,158.37,481.34,Open,Active,327552.62,No,Auto
POL00478,2123.66,3810.4,917.44,Closed,Cancelled,384296.67,No,Home
POL00479,1535.87,1366.97,297.66,Open,Active,382062.83,No,Life
POL00480,1161.62,1310.11,8803.18,Closed,Cancelled,284652.06,No,Auto
POL00481,913.34,1794.98,4711.16,Open,Active,80806.42,No,Life
POL00482,718.07,3482.3,1397.58,Open,Active,217000.82,No,Auto
POL00483,1261.04,854.84,3321.67,Closed,Active,464344.97,No,Auto
POL00484,973.09,2266.51,1324.74,Open,Active,313002.01,No,Auto
POL00485,773.32,1668.19,1758.72,Closed,Active,292249.37,No,Auto
POL00486,1006.03,621.3,168.03,Closed,Active,170984.08,No,Home
POL00487,875.54,4217.82,2533.68,Open,Active,215802.01,No,Home
POL00488,1706.14,3193.3,245.95,Closed,Cancelled,452905.74,No,Auto
POL00489,1464.49,2148.53,3148.36,Closed,Active,349908.37,No,Life
POL00490,1197.61,3802.01,2742.1,Closed,Active,404324.16,No,Auto
POL00491,1643.98,4039.24,2220.4,Open,Active,254455.44,No,Home
POL00492,1223.21,2464.49,66.29,Closed,Active,333611.25,No,Life
POL00493,941.61,3628.17,650.08,Closed,Active,161772.62,No,Home
POL00494,1656.94,2391.16,549.58,Open,Active,367457.37,No,Home
POL00495,1361.67,2279.75,803.7,Open,Active,242420.6,No,Life
POL00496,888.83,1927.87,165.1,Closed,Active,249145.48,No,Auto
POL00497,1142.9,2794.44,4975.11,Closed,Active,342195.05,No,Auto
POL00498,937.31,345.39,1452.59,Closed,Active,471326.28,No,Auto
POL00499,785.16,4255.09,656.28,Closed,Lapsed,78802.86,No,Auto
